FID,RDNAME,RDNAME2,HWY_NUM,AADTT16,VOG_WGT,VOG16,SHAPE_Length
12473,Highway 401 W,Macdonald-Cartier Fwy W,401,10735,58078546,220145000,0.0267866917494003
12474,Highway 6 N,King's Highway 401 W,401,9054,61832026,238235000,0.0464193103289411
12475,Highway 401 W,Macdonald-Cartier Fwy W,401,7186,46947270,194307000,0.138909139994753
12476,Highway 401 Collector,Macdonald-Cartier Fwy W,401,9057,56598624,213818000,0.010838907744054
12477,Highway 400 N, ,400,5045,32423418,102497000,0.00854209392631806
12478,Highway 401 W,Macdonald-Cartier Fwy W,401,10550,60674834,227310000,0.132654628633355
12479,Highway 401 E,Macdonald-Cartier Fwy E,401,10464,76104800,309564000,0.138300751171942
12480,Highway 400 N, ,400,5045,32423418,102497000,0.00533777444106938
12481,Highway 400, ,400,743,5824747,20172000,0.167963866673994
12482,Service Road,On Route,401,3496,41692604,159108000,0.00510820936101322
12483,Highway 400, ,400,774,9590525,42068000,0.0535028816336994
12484,Highway 400, ,400,760,9589404,42060000,0.119686666257992
12485,Highway 401 W,Macdonald-Cartier Fwy W,401,7373,46351380,190873000,0.0117874824398841
12486,Highway 400, ,400,843,10077327,43170000,0.0244252337687859
12487,Highway 400, ,400,698,10067418,42992000,0.0196655006679699
12488,Highway 400, ,400,948,10372184,43543000,0.0628814927476238
12489,Highway 401 Expy,Macdonald-Cartier Fwy E,401,11504,68095221,243572000,0.0264273898191103
12490,Tc Hwy, ,417,445,4957282,20515000,0.00624741147606185
12491,Highway 401 Expy,Macdonald-Cartier Fwy E,401,14535,75753393,269557000,0.0325303237846493
12492,Highway 401 Expy,Macdonald-Cartier Fwy W,401,12366,62866935,267482000,0.0372783487104902
12493,Highway 400 S, ,400,3809,28315653,61467000,0.0972674905153404
12494,Highway 400, ,400,809,9479873,41485000,0.160890073286845
12495,Highway 409 E, ,409,5381,13020998,63654000,0.00300084428958984
12496,Highway 401 Expy,Macdonald-Cartier Fwy W,401,9196,56610356,213508000,0.0437757130842546
12497,Tc Hwy E, ,417,5093,10462948,30926000,0.00603333783593748
12498,Highway 401 W,Macdonald-Cartier Fwy W,401,7369,46460687,191733000,0.00508054187851545
12499,Highway 401 Collector,Macdonald-Cartier Fwy E,401,11504,68095221,243572000,0.0122773009956233
12500,Highway 401 E,Macdonald-Cartier Fwy E,401,6909,54938005,192930000,0.142491191240383
12501,Highway 401 W,Macdonald-Cartier Fwy W,401,3828,39681922,172700000,0.0887229786284994
12502,Highway 401 E,Macdonald-Cartier Fwy E,401,5759,54999533,191511000,0.11118725887886
12503,Highway 401 E,Macdonald-Cartier Fwy E,401,6441,51730979,184413000,0.110318395787894
12504,Tc Hwy E, ,417,0,0,0,0.0374477678586155
12505,Tc Hwy E, ,417,1254,6867734,16345000,0.157341487385874
12506,Highway 400 N, ,400,4028,32748615,102792000,0.00527220862164373
12507,Highway 402 E, ,402,3126,26948139,122079000,0.0478089574155084
12508,Highway 401 W,Macdonald-Cartier Fwy W,401,900,26520285,123445000,0.00873417130089445
12509,Highway 401 W,Macdonald-Cartier Fwy W,401,4534,34294993,144025000,0.0807409563771075
12510,Highway 7, ,7,579,2555561,7591000,0.00525951343582622
12511,Highway 401 W,Macdonald-Cartier Fwy W,401,5025,45915412,187632000,0.088464391290477
12512,Highway 401 W,Macdonald-Cartier Fwy W,401,2070,16824326,40977000,0.018581616644183
12513,Highway 7 W,King's Highway 6 N,6,1198,5323657,25465000,0.00884483743054549
12514,Highway 6 S,Hanlon Expy,6,1544,6911003,34725000,0.0114503585145626
12515,Tc Hwy W, ,417,0,0,0,0.0388391396413868
12516,Highway 401 E,Macdonald-Cartier Fwy E,401,4462,40624897,217854000,0.0849095133728304
12517,Highway 400, ,400,714,9589404,42060000,0.0226153438486053
12518,Highway 400 S, ,400,3686,26346790,48871000,0.0141104555724324
12519,Highway 7,Highway 115,7,1134,3313138,7819000,0.013082161925922
12520,Highway 401 W,Macdonald-Cartier Fwy W,401,7227,49307946,199277000,0.00560525325956808
12521,Rest Area, ,401,9435,74209942,337732000,0.0141652933926064
12522,Highway 401 E,Macdonald-Cartier Fwy E,401,7020,61189114,215555000,0.0632701400687461
12523,Highway 400 S, ,400,3824,28679378,54499000,0.0413106534969337
12524,Highway 401 E,Macdonald-Cartier Fwy E,401,12121,72447909,307630000,0.0341039298171697
12525, , ,402,2426,22336311,71143000,0.00216726925921505
12526,Highway 400, ,400,1185,9209110,41041000,0.0375152122446556
12527,Highway 400, ,400,829,5746240,20076000,0.0125503113122756
12528,Hwy 85 Collectors, ,85,4885,5919217,20667000,0.00190453326820532
12529,Highway 401 E,Macdonald-Cartier Fwy E,401,9229,59125985,269471000,0.0194026732235881
12530,Highway 401 W,Macdonald-Cartier Fwy W,401,5841,45213669,183985000,0.148944719111012
12531,Highway 400 N, ,400,3601,29247566,90527000,0.00325686219518592
